City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Torrington,US,2022-11-09 01:54:10,41.8007,-73.1212,44.78,46,0,4.0
115,Peleduy,RU,2022-11-09 01:54:10,59.6289,112.7406,17.74,92,100,10.94
116,East London,ZA,2022-11-09 01:54:11,-33.0153,27.9116,63.66,88,28,3.53
117,Beloha,MG,2022-11-09 01:54:11,-25.1667,45.05,73.74,64,0,4.34
118,Pisco,PE,2022-11-09 01:45:33,-13.7,-76.2167,62.65,88,2,10.36
119,Takoradi,GH,2022-11-09 01:54:12,4.8845,-1.7554,76.95,88,78,4.88
120,Iqaluit,CA,2022-11-09 01:54:12,63.7506,-68.5145,17.33,92,100,4.61
121,Hadejia,NG,2022-11-09 01:54:12,12.4498,10.0444,73.18,21,9,8.55
122,Tuatapere,NZ,2022-11-09 01:54:13,-46.1333,167.6833,57.16,79,94,12.97
123,Lorengau,PG,2022-11-09 01:54:13,-2.0226,147.2712,84.02,72,100,5.01
124,Meadow Lake,US,2022-11-09 01:54:14,34.8014,-106.5436,64.29,22,0,9.91
125,Bathsheba,BB,2022-11-09 01:54:14,13.2167,-59.5167,83.01,83,40,21.85
126,Shahr-E Babak,IR,2022-11-09 01:54:15,30.1165,55.1186,49.75,73,7,4.36
127,Kargasok,RU,2022-11-09 01:54:15,59.0556,80.8572,22.75,92,100,10.25
128,Kerema,PG,2022-11-09 01:54:15,-7.9631,145.7785,84.04,70,100,7.36
129,Lipin Bor,RU,2022-11-09 01:54:16,60.2622,37.9763,40.87,96,100,10.13
130,Hit,IQ,2022-11-09 01:54:16,33.6416,42.8251,62.15,41,26,7.31
131,Vila Franca Do Campo,PT,2022-11-09 01:54:17,37.7167,-25.4333,64.81,83,46,7.16
132,Arraial Do Cabo,BR,2022-11-09 01:54:17,-22.9661,-42.0278,67.96,94,100,4.61
133,Thompson,CA,2022-11-09 01:53:45,55.7435,-97.8558,6.96,85,100,9.22
134,Saskylakh,RU,2022-11-09 01:54:18,71.9167,114.0833,-0.15,98,100,2.57
135,Kansk,RU,2022-11-09 01:54:18,56.2017,95.7175,19.62,94,50,0.96
136,Karanpura,IN,2022-11-09 01:54:19,29.1018,75.092,69.84,50,4,5.3
137,Provideniya,RU,2022-11-09 01:55:03,64.3833,-173.3,30.36,69,100,18.01
138,Kumukh,RU,2022-11-09 01:55:19,42.1704,47.1161,33.6,31,0,4.94
139,Hualmay,PE,2022-11-09 01:55:20,-11.0964,-77.6139,63.55,84,14,7.7
140,Bossangoa,CF,2022-11-09 01:55:20,6.4926,17.4552,73.0,81,97,3.38
141,Mooresville,US,2022-11-09 01:51:17,35.5849,-80.8101,56.98,40,0,10.38
142,Avarua,CK,2022-11-09 01:55:21,-21.2078,-159.775,75.25,69,75,12.66
143,Khrebtovaya,RU,2022-11-09 01:55:21,56.7032,104.2494,13.23,94,80,3.56
144,Puerto Escondido,MX,2022-11-09 01:55:22,15.85,-97.0667,80.49,80,100,1.32
145,Okahandja,NA,2022-11-09 01:55:22,-21.9833,16.9167,63.07,57,0,6.02
146,Clyde River,CA,2022-11-09 01:45:36,70.4692,-68.5914,5.23,78,100,16.11
147,San Felipe,VE,2022-11-09 01:55:23,10.3399,-68.7425,71.92,97,65,0.51
148,Kimbe,PG,2022-11-09 01:55:23,-5.5502,150.1429,82.06,81,100,2.3
149,Kapoeta,SS,2022-11-09 01:55:23,4.7717,33.5903,73.8,73,91,4.61
150,Harnosand,SE,2022-11-09 01:55:24,62.6323,17.9379,39.0,98,100,16.82
151,San Patricio,US,2022-11-09 01:55:24,28.017,-97.5169,76.89,76,10,11.95
152,Dakar,SN,2022-11-09 01:52:21,14.6937,-17.4441,76.08,69,100,14.7
153,Barkhera,IN,2022-11-09 01:55:25,28.45,79.8,67.33,81,5,3.04
154,Ormara,PK,2022-11-09 01:55:27,25.2088,64.6357,77.04,68,0,3.87
155,San Quintin,MX,2022-11-09 01:55:28,30.4833,-115.95,64.42,87,26,5.35
156,Mahebourg,MU,2022-11-09 01:55:28,-20.4081,57.7,73.69,78,40,6.91
157,Manzanillo,CU,2022-11-09 01:55:28,20.3433,-77.1167,75.24,78,56,0.78
158,Aksu,CN,2022-11-09 01:55:29,41.1231,80.2644,43.63,39,100,2.59
159,Minab,IR,2022-11-09 01:55:29,27.1467,57.0801,71.92,83,41,0.0
160,Brownwood,US,2022-11-09 01:55:30,31.7093,-98.9912,72.72,80,0,11.5
161,Bethel,US,2022-11-09 01:55:30,41.3712,-73.414,47.64,44,0,4.0
162,Antofagasta,CL,2022-11-09 01:55:31,-23.65,-70.4,60.08,77,21,2.26
163,General Roca,AR,2022-11-09 01:55:31,-39.0333,-67.5833,74.62,60,95,13.85
164,Souillac,MU,2022-11-09 01:55:31,-20.5167,57.5167,73.78,78,40,6.91
165,Teloloapan,MX,2022-11-09 01:55:32,18.35,-99.85,62.17,77,5,2.06
166,Hirado,JP,2022-11-09 01:55:32,33.3597,129.5531,63.54,51,1,2.15
167,Nelson,NZ,2022-11-09 01:55:32,-41.2833,173.2833,71.29,60,1,4.0
168,North Branch,US,2022-11-09 01:55:33,45.5113,-92.9802,46.38,94,99,5.99
169,Los Llanos De Aridane,ES,2022-11-09 01:55:33,28.6585,-17.9182,65.95,78,0,8.05
170,The Valley,AI,2022-11-09 01:55:33,18.217,-63.0578,81.1,75,100,17.2
171,Salinopolis,BR,2022-11-09 01:55:34,-0.6136,-47.3561,77.07,86,99,4.7
172,Mount Gambier,AU,2022-11-09 01:55:34,-37.8333,140.7667,81.19,42,71,12.39
173,Huntington Beach,US,2022-11-09 01:53:12,33.6603,-117.9992,57.52,93,100,6.91
174,Ayan,RU,2022-11-09 01:55:34,56.45,138.1667,22.01,59,100,5.28
175,Miles City,US,2022-11-09 01:55:35,46.4083,-105.8406,18.36,73,100,13.56
176,Maumere,ID,2022-11-09 01:55:35,-8.6199,122.2111,84.11,68,100,5.23
177,Korla,CN,2022-11-09 01:55:35,41.7597,86.1469,47.05,44,100,11.79
178,Emba,KZ,2022-11-09 01:55:36,48.8264,58.1442,26.98,91,24,4.83
179,Buta,CD,2022-11-09 01:55:36,2.7858,24.73,68.74,99,100,2.57
180,Nabire,ID,2022-11-09 01:55:07,-3.3667,135.4833,87.35,62,100,4.63
181,Fairbanks,US,2022-11-09 01:53:08,64.8378,-147.7164,19.74,93,100,0.0
182,Saint George,US,2022-11-09 01:52:25,37.1041,-113.5841,61.39,73,75,21.85
183,Burayevo,RU,2022-11-09 01:55:37,55.8407,55.4083,32.31,97,100,13.31
184,Victoria,HK,2022-11-09 01:52:50,22.2855,114.1577,77.25,76,61,7.0
185,Kruisfontein,ZA,2022-11-09 01:56:37,-34.0033,24.7314,63.88,82,100,7.61
186,Syamzha,RU,2022-11-09 01:56:38,60.0158,41.0614,37.36,98,100,7.4
187,Otjimbingwe,NA,2022-11-09 01:56:38,-22.35,16.1333,66.36,66,0,3.38
188,Tasiilaq,GL,2022-11-09 01:56:05,65.6145,-37.6368,29.84,97,100,7.43
189,Magadan,RU,2022-11-09 01:54:11,59.5667,150.8,4.53,81,58,4.52
190,Leh,IN,2022-11-09 01:56:38,34.1667,77.5833,22.03,65,19,1.83
191,Whitehorse,CA,2022-11-09 01:56:39,60.7161,-135.0538,14.02,72,100,11.5
192,Luderitz,NA,2022-11-09 01:56:39,-26.6481,15.1594,57.74,84,6,10.6
193,Fonte Boa,BR,2022-11-09 01:56:39,-2.4959,-66.2662,75.13,88,86,0.72
194,Beaufort,MY,2022-11-09 01:56:40,5.3473,115.7455,85.44,69,100,2.33
195,Cherskiy,RU,2022-11-09 01:52:22,68.75,161.3,-6.09,98,98,4.32
196,Krivosheino,RU,2022-11-09 01:56:40,57.3431,83.9261,22.44,95,100,5.77
197,Safaga,EG,2022-11-09 01:56:41,26.7292,33.9365,71.69,52,98,11.7
198,Sioux Lookout,CA,2022-11-09 01:56:41,50.1001,-91.917,33.87,100,100,8.05
199,Chokurdakh,RU,2022-11-09 01:56:41,70.6333,147.9167,-1.08,97,96,8.7
200,Itarema,BR,2022-11-09 01:56:42,-2.9248,-39.9167,77.86,78,93,11.68
201,Hamilton,US,2022-11-09 01:56:42,39.1834,-84.5333,53.89,50,8,5.99
202,Burnie,AU,2022-11-09 01:56:42,-41.0667,145.9167,66.0,66,100,6.42
203,Yaan,NG,2022-11-09 01:56:43,7.3833,8.5667,73.33,63,100,4.52
204,Kemijarvi,FI,2022-11-09 01:56:43,66.7131,27.4306,25.45,97,89,4.99
205,Rockhampton,AU,2022-11-09 01:56:43,-23.3833,150.5,78.69,44,0,10.36
206,Richards Bay,ZA,2022-11-09 01:56:44,-28.783,32.0377,70.07,95,100,4.74
207,Togur,RU,2022-11-09 01:56:44,58.3631,82.8265,22.48,93,100,7.63
208,Kinkala,CG,2022-11-09 01:56:44,-4.3614,14.7644,70.29,97,100,4.61
209,Kharp,RU,2022-11-09 01:56:45,66.8014,65.8081,18.75,96,100,3.71
210,Cachoeira Do Sul,BR,2022-11-09 01:56:45,-30.0392,-52.8939,54.77,94,0,4.88
211,Belmonte,BR,2022-11-09 01:56:45,-15.8631,-38.8828,72.66,85,100,4.45
212,San Luis,AR,2022-11-09 01:56:46,-33.295,-66.3356,72.16,36,100,11.36
213,Kloulklubed,PW,2022-11-09 01:56:46,7.0419,134.2556,75.7,78,100,10.74
214,Hirara,JP,2022-11-09 01:56:46,24.8,125.2833,80.46,83,75,16.11
215,Panshi,CN,2022-11-09 01:56:47,42.9422,126.0561,47.25,56,0,13.42
216,Narsaq,GL,2022-11-09 01:56:47,60.9167,-46.05,18.01,70,7,7.61
217,Kashmor,PK,2022-11-09 01:56:47,28.4333,69.5833,70.14,44,3,5.21
218,Panguna,PG,2022-11-09 01:56:48,-6.3164,155.4848,75.11,88,100,2.8
219,Ilebo,CD,2022-11-09 01:56:48,-4.3167,20.5833,70.0,99,100,0.76
220,Flin Flon,CA,2022-11-09 01:56:48,54.7682,-101.865,10.54,95,100,6.15
221,Lompoc,US,2022-11-09 01:56:49,34.6391,-120.4579,53.01,91,100,3.44
222,Lebu,CL,2022-11-09 01:56:49,-37.6167,-73.65,55.45,90,58,7.43
223,Luangwa,ZM,2022-11-09 01:56:49,-15.6167,30.4167,79.63,66,99,3.71
224,Concarneau,FR,2022-11-09 01:56:50,47.875,-3.9225,57.81,81,15,19.69
225,Faanui,PF,2022-11-09 01:56:50,-16.4833,-151.75,78.94,70,98,10.8
226,Chuy,UY,2022-11-09 01:56:50,-33.6971,-53.4616,56.17,88,0,6.26
227,Tselinnoye,RU,2022-11-09 01:56:51,53.0833,85.6667,27.82,92,100,5.12
228,Senador Guiomard,BR,2022-11-09 01:56:51,-10.1522,-67.7392,83.95,40,22,3.09
229,Hami,CN,2022-11-09 01:56:52,42.8,93.45,48.99,28,10,3.13
230,Svetlaya,RU,2022-11-09 01:56:52,46.5389,138.3297,44.01,49,13,9.04
231,Aklavik,CA,2022-11-09 01:57:52,68.2191,-135.0107,18.9,89,100,2.48
232,Mahajanga,MG,2022-11-09 01:57:53,-15.7167,46.3167,75.22,94,40,4.61
233,Kinshasa,CD,2022-11-09 01:57:53,-4.3246,15.3215,73.78,94,40,4.61
234,Torbay,CA,2022-11-09 01:57:53,47.6666,-52.7314,40.75,84,100,19.57
235,Vega De Alatorre,MX,2022-11-09 01:57:53,20.0333,-96.6333,75.13,84,1,6.42
236,Saint-Junien,FR,2022-11-09 01:57:54,45.8833,0.9,57.78,97,100,3.29
237,Polovinnoye,RU,2022-11-09 01:57:54,54.7914,65.9864,28.58,92,100,9.17
238,Kawalu,ID,2022-11-09 01:57:54,-7.3817,108.2082,78.73,81,97,1.5
239,Mehamn,NO,2022-11-09 01:57:55,71.0357,27.8492,35.51,93,75,4.61
240,Jasper,US,2022-11-09 01:55:38,37.2001,-94.3502,67.23,87,83,8.61
241,Isugod,PH,2022-11-09 01:57:55,9.3408,118.1196,85.82,69,97,1.97
242,Garowe,SO,2022-11-09 01:57:56,8.4054,48.4845,71.58,83,0,7.11
243,Heliconia,CO,2022-11-09 01:57:56,6.2069,-75.7337,64.9,97,100,1.21
244,Ponta Do Sol,PT,2022-11-09 01:57:56,32.6667,-17.1,70.72,83,31,6.22
245,Isangel,VU,2022-11-09 01:57:56,-19.55,169.2667,81.7,75,100,9.33
246,Jacmel,HT,2022-11-09 01:57:57,18.2342,-72.5347,80.44,80,2,0.89
247,Ajdabiya,LY,2022-11-09 01:57:57,30.7554,20.2263,64.74,76,0,6.78
248,Lazaro Cardenas,MX,2022-11-09 01:57:58,17.9583,-102.2,78.49,85,30,3.47
249,Camacha,PT,2022-11-09 01:57:58,33.0833,-16.3333,65.62,83,40,6.91
250,Raub,MY,2022-11-09 01:57:58,3.7899,101.857,80.53,79,90,2.08
251,Hasaki,JP,2022-11-09 01:57:59,35.7333,140.8333,64.29,46,51,4.18
252,Nandurbar,IN,2022-11-09 01:57:59,21.3667,74.25,74.01,44,3,6.08
253,Loknya,RU,2022-11-09 01:58:00,56.83,30.1467,48.0,95,100,8.41
254,San Rafael,AR,2022-11-09 01:58:00,-34.6177,-68.3301,73.4,44,100,4.5
255,Shirokiy,RU,2022-11-09 01:58:00,49.758,129.523,34.39,86,97,12.46
256,Jinxiang,CN,2022-11-09 01:58:01,27.4327,120.6062,67.69,76,100,7.14
257,Caravelas,BR,2022-11-09 01:58:01,-17.7125,-39.2481,70.36,83,100,3.15
258,Merta,IN,2022-11-09 01:58:02,26.65,74.0333,69.78,47,0,7.0
259,Mollendo,PE,2022-11-09 01:58:02,-17.0231,-72.0147,63.34,86,7,4.27
260,Banda Aceh,ID,2022-11-09 01:58:03,5.5577,95.3222,81.7,74,93,2.75
261,Bhola,BD,2022-11-09 01:58:03,22.6833,90.65,74.68,64,7,3.53
262,Pangody,RU,2022-11-09 01:58:03,65.85,74.4859,8.22,95,100,6.49
263,Tecoanapa,MX,2022-11-09 01:58:04,16.5167,-98.75,80.19,82,97,4.72
