City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Marsa Matruh,EG,31.3525,27.2453,71.8,60,40,4.61,scattered clouds
202,Villamontes,BO,-21.25,-63.5,94.44,36,0,8.05,clear sky
203,Adrar,MR,20.5022,-10.0711,86.02,9,9,14.81,clear sky
204,Pitimbu,BR,-7.4706,-34.8086,88.39,67,56,10.31,broken clouds
205,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,90,92,29.21,moderate rain
206,Xuddur,SO,4.1213,43.8894,81.84,43,72,10.04,broken clouds
207,Thompson,CA,55.7435,-97.8558,-9.24,77,20,4.61,few clouds
208,Baghdad,IQ,33.3406,44.4009,67.91,52,0,0.0,clear sky
209,Surovikino,RU,48.6078,42.8486,42.51,71,14,6.49,few clouds
210,Kilemary,RU,56.7783,46.8659,44.13,92,100,9.78,overcast clouds
211,Havoysund,NO,70.9963,24.6622,35.83,81,91,10.69,light rain
212,Chicama,PE,-7.8447,-79.1469,64.94,57,20,10.49,few clouds
213,Andrushivka,UA,50.0229,29.0202,47.95,82,79,8.23,broken clouds
214,Sorland,NO,67.667,12.6934,40.86,76,92,22.93,overcast clouds
215,Nanortalik,GL,60.1432,-45.2371,29.73,72,100,14.5,overcast clouds
216,Estelle,US,29.8458,-90.1067,72.0,70,75,9.22,broken clouds
217,Codrington,AU,-38.2667,141.9667,54.18,95,67,6.17,broken clouds
218,Sambava,MG,-14.2667,50.1667,73.08,79,20,6.31,few clouds
219,Bridlington,GB,54.0831,-0.1919,57.88,85,97,18.99,overcast clouds
220,Yanam,IN,16.7333,82.2167,78.48,68,84,8.05,broken clouds
221,Lipari,IT,38.4674,14.954,65.32,67,98,5.84,overcast clouds
222,Sipote,RO,47.4667,27.2167,51.24,67,42,2.89,scattered clouds
223,Teya,RU,60.3778,92.6267,21.79,96,100,3.4,overcast clouds
224,Zurrieq,MT,35.8311,14.4742,68.97,72,20,4.61,few clouds
225,Tasiilaq,GL,65.6145,-37.6368,37.56,78,100,30.76,overcast clouds
226,Morondava,MG,-20.2833,44.2833,81.75,77,26,15.01,scattered clouds
227,Barra,BR,-11.0894,-43.1417,88.25,42,16,5.17,few clouds
